Time,MinTemp,Cloudness,Qout,24h out,Qd,%,Qf,Qbs a,Qbs w,Qbs s,% bs a/d,% bs w/d,% bs s/d,% f/d,Qhwp,% hw
65,-1.4E+01,79,2.547361328E+02,6.113667187200001E+03,2.1097639647737733E+03,3.450897636676923E-01,1.6308117337346744E+03,2.060894110424528E+03,2.0863184307946667E+03,0E+00,2.316365961558416E-02,1.1112870619923066E-02,1E+00,2.2701697395350873E-01,4.96E+03,4.253556380592285E-01
66,-1.2E+01,93,2.397516544E+02,5.7540397056E+03,7.027278802774498E+02,1.2212774263506287E-01,5.421007708073397E+02,6.873277380990821E+02,6.944460803417664E+02,0E+00,2.1914801746996924E-02,1.1785216110130146E-02,1E+00,2.2857654289551116E-01,4.96E+03,1.416790081204536E-01
67,-9E+00,91,2.172749368E+02,5.2145984832E+03,9.028371817987851E+02,1.7313647152460113E-01,6.950229422992448E+02,8.841343140298248E+02,8.915290633466293E+02,0E+00,2.0715659640531434E-02,1.252509165564693E-02,1E+00,2.301790884215662E-01,4.96E+03,1.820236253626583E-01
68,-9E+00,98,2.172749368E+02,5.2145984832E+03,2.0049984749470923E+02,3.844971921436799E-02,1.540181695356017E+02,1.965692134942205E+02,1.9782632036987758E+02,0E+00,1.9604174514858214E-02,1.3334310016880256E-02,1E+00,2.3182899408606328E-01,4.96E+03,4.0423356349739765E-02
69,-7E+00,97,2.022904584E+02,4.8549710016E+03,3.0056189165861963E+02,6.190807145080099E-02,2.3038831226694498E+02,2.9498880864068684E+02,2.9628746670717885E+02,0E+00,1.8542214341207158E-02,1.4221446797040179E-02,1E+00,2.3347463979691188E-01,4.96E+03,6.0597155576334605E-02
70,-9E+00,95,2.172749368E+02,5.2145984832E+03,5.0066183703862816E+02,9.601157953994399E-02,3.828864585840481E+02,4.9188450372812264E+02,4.9306909383522714E+02,0E+00,1.7531460680971295E-02,1.516541234361194E-02,1E+00,2.3523937664434605E-01,4.96E+03,1.0093988649972342E-01
71,-1E+01,86,2.24767176E+02,5.394412224E+03,1.400964550066341E+03,2.5970661712380494E-01,1.0689736297474708E+03,1.3777088383762318E+03,1.3782849785203425E+03,0E+00,1.659978597531814E-02,1.6188540634325538E-02,1E+00,2.369731056386467E-01,4.96E+03,2.824525302553107E-01
72,-1E+01,92,2.24767176E+02,5.394412224E+03,8.000877836726603E+02,1.483178797706692E-01,6.090566202752967E+02,7.875081907822237E+02,7.862660504513176E+02,0E+00,1.5722765860381353E-02,1.727527091826922E-02,1E+00,2.3876275490730417E-01,4.96E+03,1.6130802090174604E-01
73,-9E+00,88,2.172749368E+02,5.2145984832E+03,1.1994826716403513E+03,2.3002397509698091E-01,9.108191833143317E+02,1.1816051214177255E+03,1.177360160562528E+03,0E+00,1.4904383902584925E-02,1.8443376966479724E-02,1E+00,2.4065665569912587E-01,4.96E+03,2.4183118379845792E-01
74,-7E+00,92,2.022904584E+02,4.8549710016E+03,7.992272430225314E+02,1.6462039479929721E-01,6.053999563422936E+02,7.879081628131055E+02,7.835118938259225E+02,0E+00,1.416253050461493E-02,1.9663180070259283E-02,1E+00,2.425183680516425E-01,4.96E+03,1.6113452480292972E-01
75,-8E+00,84,2.097826976E+02,5.0347847424E+03,1.5976402396793978E+03,3.173204658036341E-01,1.2071658480290484E+03,1.5760791120190543E+03,1.5641496535189751E+03,0E+00,1.3495608789041345E-02,2.096253294618026E-02,1E+00,2.4440695843308674E-01,4.96E+03,3.2210488703213663E-01
76,-9E+00,95,2.172749368E+02,5.2145984832E+03,4.9903044186166005E+02,9.569872799783122E-02,3.761072732116373E+02,4.9259754254596254E+02,4.8788658609056876E+02,0E+00,1.2890795382540714E-02,2.2331013974856057E-02,1E+00,2.4632398815481324E-01,4.96E+03,1.006109761817863E-01
77,-8E+00,97,2.097826976E+02,5.0347847424E+03,2.9927427823338763E+02,5.944132540822956E-02,2.2496328664681587E+02,2.9558017709044856E+02,2.921609996743893E+02,0E+00,1.234353037202293E-02,2.3768426077202316E-02,1E+00,2.4830397060926393E-01,4.96E+03,6.033755609544106E-02
78,-5E+00,92,1.8730598E+02,4.49534352E+03,7.977534224469526E+02,1.7746217144423093E-01,5.980405052561655E+02,7.882864218321645E+02,7.775894008263072E+02,0E+00,1.186707615211483E-02,2.5276007665120784E-02,1E+00,2.5034416847527496E-01,4.96E+03,1.6083738355785335E-01
79,-6E+00,93,1.947982192E+02,4.675157260800001E+03,6.97707716990664E+02,1.492372722605002E-01,5.216281815621753E+02,6.897118213982634E+02,6.789703899211722E+02,0E+00,1.1460236711854525E-02,2.6855553712820068E-02,1E+00,2.5236862247697456E-01,4.96E+03,1.406668784255371E-01
80,-8E+00,86,2.097826976E+02,5.0347847424E+03,1.3949408235493163E+03,2.7706066791732803E-01,1.0400426124108724E+03,1.3794019205346513E+03,1.355184683146961E+03,0E+00,1.113947111758303E-02,2.850023436922491E-02,1E+00,2.544181123292626E-01,4.96E+03,2.8123806926397504E-01
81,-6E+00,92,1.947982192E+02,4.675157260800001E+03,7.968277335370294E+02,1.7043870164929562E-01,5.924298327560009E+02,7.881655273939325E+02,7.727404634356498E+02,0E+00,1.0870864276581339E-02,3.0228955503919214E-02,1E+00,2.5651454157315656E-01,4.96E+03,1.6065075272923982E-01
82,-5E+00,92,1.8730598E+02,4.49534352E+03,7.965668550241224E+02,1.7719821666134258E-01,5.905701537647767E+02,7.880622909695351E+02,7.710671252434367E+02,0E+00,1.0676522630771387E-02,3.201203969240405E-02,1E+00,2.586056649985864E-01,4.96E+03,1.605981562548634E-01
83,-4E+00,99,1.798137408E+02,4.3155297792E+03,9.953838048021326E+01,2.3065158989278342E-02,7.358339851444872E+01,9.848754111198039E+01,9.616672188508983E+01,0E+00,1.0557127443335989E-02,3.38729501008275E-02,1E+00,2.607535087525762E-01,4.96E+03,2.006822187101074E-02
84,-2E+00,83,1.648292624E+02,3.9559022976E+03,1.691769350936915E+03,4.2765701063024025E-01,1.2470529233307307E+03,1.6739876593404617E+03,1.6312084624126696E+03,0E+00,1.051070678553531E-02,3.5797367111956566E-02,1E+00,2.628706019292151E-01,4.96E+03,3.4108253043082964E-01
85,-4E+00,86,1.798137408E+02,4.3155297792E+03,1.3928576914942328E+03,3.227547399180354E-01,1.023647057758943E+03,1.37819119706426E+03,1.340222147649142E+03,0E+00,1.0529786725188695E-02,3.7789606337043986E-02,1E+00,2.6507419673233623E-01,4.96E+03,2.8081808296254696E-01
